qtrMinute,Minute (bin),Minute,Number of Records,Qtr,Season,Touchdowns (copy),Touchdowns
Q3 - 1,0,1,1,Quarter 3,2010,11,11
Q3 - 2,0,2,1,Quarter 3,2010,12,12
Q3 - 3,3,3,1,Quarter 3,2010,16,16
Q3 - 4,3,4,1,Quarter 3,2010,17,17
Q3 - 5,3,5,1,Quarter 3,2010,15,15
Q3 - 6,6,6,1,Quarter 3,2010,21,21
Q3 - 7,6,7,1,Quarter 3,2010,18,18
Q3 - 8,6,8,1,Quarter 3,2010,19,19
Q3 - 9,9,9,1,Quarter 3,2010,26,26
Q3 - 10,9,10,1,Quarter 3,2010,21,21
Q3 - 11,9,11,1,Quarter 3,2010,22,22
Q3 - 12,12,12,1,Quarter 3,2010,14,14
Q3 - 13,12,13,1,Quarter 3,2010,18,18
Q3 - 14,12,14,1,Quarter 3,2010,22,22
Q3 - 15,15,15,1,Quarter 3,2010,17,17
Q3 - 0,0,0,1,Quarter 3,2011,2,2
Q3 - 1,0,1,1,Quarter 3,2011,3,3
Q3 - 2,0,2,1,Quarter 3,2011,7,7
Q3 - 3,3,3,1,Quarter 3,2011,19,19
Q3 - 4,3,4,1,Quarter 3,2011,19,19
Q3 - 5,3,5,1,Quarter 3,2011,25,25
Q3 - 6,6,6,1,Quarter 3,2011,21,21
Q3 - 7,6,7,1,Quarter 3,2011,22,22
Q3 - 8,6,8,1,Quarter 3,2011,14,14
Q3 - 9,9,9,1,Quarter 3,2011,26,26
Q3 - 10,9,10,1,Quarter 3,2011,16,16
Q3 - 11,9,11,1,Quarter 3,2011,22,22
Q3 - 12,12,12,1,Quarter 3,2011,26,26
Q3 - 13,12,13,1,Quarter 3,2011,21,21
Q3 - 14,12,14,1,Quarter 3,2011,20,20
Q3 - 15,15,15,1,Quarter 3,2011,18,18
Q3 - 0,0,0,1,Quarter 3,2012,5,5
Q3 - 1,0,1,1,Quarter 3,2012,6,6
Q3 - 2,0,2,1,Quarter 3,2012,9,9
Q3 - 3,3,3,1,Quarter 3,2012,21,21
Q3 - 4,3,4,1,Quarter 3,2012,25,25
Q3 - 5,3,5,1,Quarter 3,2012,22,22
Q3 - 6,6,6,1,Quarter 3,2012,21,21
Q3 - 7,6,7,1,Quarter 3,2012,21,21
Q3 - 8,6,8,1,Quarter 3,2012,18,18
Q3 - 9,9,9,1,Quarter 3,2012,19,19
Q3 - 10,9,10,1,Quarter 3,2012,26,26
Q3 - 11,9,11,1,Quarter 3,2012,23,23
Q3 - 12,12,12,1,Quarter 3,2012,22,22
Q3 - 13,12,13,1,Quarter 3,2012,18,18
Q3 - 14,12,14,1,Quarter 3,2012,18,18
Q3 - 15,15,15,1,Quarter 3,2012,17,17
Q3 - 0,0,0,1,Quarter 3,2013,2,2
Q3 - 1,0,1,1,Quarter 3,2013,8,8
Q3 - 2,0,2,1,Quarter 3,2013,7,7
Q3 - 3,3,3,1,Quarter 3,2013,15,15
Q3 - 4,3,4,1,Quarter 3,2013,22,22
Q3 - 5,3,5,1,Quarter 3,2013,24,24
Q3 - 6,6,6,1,Quarter 3,2013,27,27
Q3 - 7,6,7,1,Quarter 3,2013,21,21
Q3 - 8,6,8,1,Quarter 3,2013,27,27
Q3 - 9,9,9,1,Quarter 3,2013,23,23
Q3 - 10,9,10,1,Quarter 3,2013,31,31
Q3 - 11,9,11,1,Quarter 3,2013,16,16
Q3 - 12,12,12,1,Quarter 3,2013,21,21
Q3 - 13,12,13,1,Quarter 3,2013,22,22
Q3 - 14,12,14,1,Quarter 3,2013,28,28
Q3 - 15,15,15,1,Quarter 3,2013,22,22
Q3 - 0,0,0,1,Quarter 3,2014,3,3
Q3 - 1,0,1,1,Quarter 3,2014,8,8
